sentence,label
"i describe my favorite hobby. my favorite hobby is playing bar mementon. and i play it with my son or with my husband, or even my solo or alone time. i want to give this opportunity to play and practice of my hobby. and then i want to play this to get sweat and exercise as every day. it's useful to our healthy and -being when we get, not we getting younger, we're getting older by the time a year goes by. that's why this is my favorite hobby, playing bar mementon. as , i'm using a rajeta and a feather to play that bar mementon. we enjoy it a lot with my son and with my family to play this every day at the time.",2.0
every person has a goal to achieve it. for that he work hard and to be patient to achieve it. my goal is to crack civil services and join in civil services. main problem i face to achieve is it's a very tough exam and to crack this exam we need many sources and very patience.,2.5
"the best day of my life is the university i attended. oost had a game, a sport festival called noga, which comprises all the old country, all the old university, state university, federal university in my country, whereby they come to my school, oost had a competition. i was happy. what made this special? because me seeing different people from different cultures, from different backgrounds, in one place, participating in sport, i feel elated. i was happy. whenever i think about this day, that particular day, i'm happy because i'm an economic person. i love sport. literally, i participated in field hockey for my school. in this particular day, i played field hockey for my school professionally, and i love football. this was a very great day.",2.5
", my best day of life is watching the good marks in the kinta satsang action. it is my best day and best day to me and also it is my best day to my parents also. in this, i think when i was writing at them it was difficult to me to write at them. i cannot feel that it was a bad experience to me. while writing at them i can think that i want to get good marks. but after getting the result i felt very good by getting good marks which was very, very hopeful to me and also very present to me. i was getting good marks and my parents also very very enjoyed getting good marks. and my friends also which was very pleasant to me getting good marks. it was a good feel to me on that day. i feel very better to me to that day.",2.0
i am not a person. i am a person. i am a person. i am a person. i am a person. i am a person. i am a person. i am a person. i am a person. i am a person. i am a person. i am a person. i am a person. i am a person. i am a person.,2.0
"yeah, have a soy crowded market. there are different types of the people are there. it's a very crowded with a large number of people. on one side, some people are selling vegetables, some people are selling fruits, and some are selling other essential products that are required for the humans. and when i hear about the market, it's a fascinating thing that there will be a large number of the people. and from morning to evening, people work hard there to fed up themselves for the feed and all. and it's very... that's it.",2.0
my special day and which is the best day of my life that is my birthday when i was in 10th standard it is my best day because every school friend was at my home and we had many memories without that day i think my life is incomplete whenever i remember that day i always get many thoughts about my school days and it remembers how we enjoyed in our schooling and also it brings a bright smile on my face this is why this is i call that day as special as as i can say the special day reminds me of all my schooling memories and how we fought how we recall recollect and how we enjoyed our schooling without friends this is the best day of my life,2.0
"i would to visit south korea because i really love the place to visit once in my life and i would to travel to airupan because that would be my first experience. i would to taste local dishes in south korea kimchi, jempok, sushi and many other dishes, spicy dishes. i would to visit the country in autumn season because the flowers or the tree blossoms, cherry blossoms.",2.5
"my goal is to become a bank employer. the goal is important to deserve the life. we must maintain one of the goals. i face many challenges while coming to a goal in my life. to become a bank employer, we have to face many problems. we have to face the problems also. i am ready to face the challenges, whatever comes. i really struggle hard to work. i really struggle hard for successfully completing my life, my goal. to become a bank employer. to become a bank employer, my mother would be all...",2.5
", market is the place where the seller sells goods to the buyer and buyer spends some money on the thing what the seller is selling. in the current market every person wants to sell their object or a thing. the seller talks or speaks loudly about the product which was they selling and also they provide the price in the market when the people hear the price of the product they can go and buy the product.",2.5
at first my hobby was not special about particular topic but when i was in school i was mostly attracted to a tenicoid game which was my hobby and i would to play tenicoid and in school times i have plenty of time to play that. now i am in college now i don't have time to play and i would to play the tenicoid game with others and tenicoid game will be played as singles and doubles. i prefer to play as singles because as of one opposition of the player only one person i can easily enjoy that game very and tenicoid game gives most enthusiastic energetic performance for me and for this game we use tools tenicoid ring that is used to play that tenicoid game.,2.0
market is a crowded place and here selling and buying takes place and there are a lot of the people where transactions will be held there exchanging between the seller and buyer goods and their vegetable vendors and some other things are going on in the market and here the deal is crowded whatever we want we go to the market and buy the ad and it is shouting there selling their prices and increasing as compared to the others and that there will be the express and market is a good thing to everyone to take the things from there and it is a crowded place the scene is too much crowded and,2.0
market means market is full of crowd because everyone are selling and buying the vegetables. everyone wants to sell and buy the vegetables because vegetables are the main source to eat and it is the main important thing for our market and our diet. everyone wants to go to market that's why the market is crowd. crowd means it is all about buying and selling the vegetables and everyone wants to eat. that's why the market is all about crowd.,2.5
"yes, there are several popular games and activities among students on the playground. some common ones include tag, hopscotch, jump rope, 4 square, basketball, soccer and various imaginative games pretend player role-playing games. trends may vary based on location, culture and age group but there are often levels in many school ads.",2.5
best day in life is earning money for everyone its money is most important. earning ourself is a thing when we start earning. to earn money you have to know the some skills even if we need money at the end money we must complete our graduation or studies or need some skills. but if you we earn money where we are education even in our school times. it will be more best day for any student. i earn some money using referral apps which makes a day which will be happy to everyone. me also it's the best day and when i feel i think about the day it will be best than others because when we earn money on ourself and to purchase something which we need that the day is best day.,2.5
"the people are saying fruits and vegetables in the market. they just use fresh water, fresh fruits, fruits, vegetables. the sound here in the market was just 20 kg per, i am sorry, 20 rupees per kg. according to people, they can buy the food according to the price. the crowd would change throughout the day from morning to evening. there is no such crowd in the early in the morning, but around 10 to 11, the crowd would increase. even in the evening, the crowd was much better.",2.5
"yeah, the best day of my life is when i have a pregnant, when i get pregnant, when the time of, when i was 19 years old that time. and then this is the best day of my life, mixed emotions. i have a baby that year, 2011, and then mixed emotions, happy, sad, and i don't know what to do for being a first time mom. and then i grow and care my son from way back 2011 up to this point when he is turning 13 on december 12, 2011. and then thinking that day, i want to take good care of that child whenever happens. i'm a solar parent and then yeah, that's it.",2.0
"i know you've known several. no. no. the first day of my life was overnight in kolkata, i found out. my school was excited because i felt i just wanted to play a lot of the opportunities for me and i was very proud of being there again and i work on the goodbye world, and i love to eat and drink. i was happy and i was very proud of the way i was there to grace the world when i was going to see it. thank you.",2.0
", in the core market there are a lot of people, they are selling a lot of things a large stone, a bike, a cow. they are selling a lot of things, which is a lot of stone and they can sell a lot of things, which can be incredible things. in the market we can see many people from evening to morning, they can sell different types of things from their livelihood. many people are present in their life. i think many people come there to enjoy their life. it was a present day, they can see many people. we can see that no one can come there.",2.0
my goal important is to become an it sector and to become an it sector crew. and msc-requited companies is a long term goal. a short term goal is to get in a job in it sector and it makes a crowd to meet my parents. and any challenges you can face to achieve this goal. my parents are motivated to focus on this path to achieve your goal. to get a job in it sector and msc companies. mostly my parents and friends are also motivated to get a job in it sector.,2.0
", the topic is to describe the best day of your life. the best day of my life is when i go to the tour to mountain. i will climb the mountain and see natural beauties and meaningful races and many more. i will climb 27 km in 20 and 15 hearts and in mountains there are also some giant temples and do very interesting and there are some fountains and mountains also. thank you.",2.0
my favorite hobby is drawing and i love to enjoy when my creative thoughts come to realistically with my drawings. i use many tools pencils and in the pencils there are many shapes the 2b etc. i to draw a lot of things that. in the most of the time i draw my class from the i built board. i will draw most of the things my lectures except draw.,2.0
"today i went to the supermarket and i have seen a lot of people, it is very crowded in the supermarket and the most of the people are purchasing electronics which has an offer for the festival sale. i heard most of the announcements on the electronics which have the offer on the day. when i entered the morning the market is fully crowded and when it comes to the evening the details are empty. the people most of them are purchasing electronics and figures and gaming console.",2.0
"describing about my happy hobbies, i would to play songs when i was in free time and again i started to do things about myself to take care of myself and finish all of my things. describing a favorite hobby, what do you enjoy the most about your hobby? are there any tools that you need to use for your hobby? do you enjoy practicing your hobby on your own or other with others? i mostly to spend time with my cell phone wheel to take care of myself.",2.0
"my town is my entire world. i was there. i was lot of loudly ending memories of it. i used to play there with my friends and cousins during my earlier. in my community everyone in kordil. my town has many trees. i can only think of one spot. i enjoyed very in my town. my favorite place is my home town. in my home town i enjoyed . i get lot of happiness from my home town because of my friends, family and relatives. there is more and of.",2.5
", what are the people selling and buying in the market? in the market we see the people selling vegetables and fruits and flowers and many more things the real hotels as . and then the market is much crowded because the market is much crowded in the morning, early in the morning because the people will start cooking for the morning itself defence, next lunch, next dinner. definitely they need to buy in the morning, most of them buy in the morning and the people retail vegetable seller they have to get the vegetables at the normal, at offitable price then they have to go early in the morning and buy the vegetables with the offered.",2.0
my favorite place to visit is our province which is bekol and i love chabalee. i love going to bekol because there's a local foods or dishes that which i love to eat there. i can eat a seafoods there that we can get from a sea and we used to travel or to go to our province which is bekol when it's holy week. where our whole family is gathering our holy week or spend our holy week to our province and we bond and we celebrate or spend the holy week together with our whole family.,2.0
"my favorite place to visit is rajasthan. it's a vibrant culture. there are different type of landscapes there. you can explore the places of jaipur witnessing the beautiful forts, different types of forts there. you also have a desert to visit there in the rajasthan. in india we can find only the desert in rajasthan.",2.0
"market, i know market is a very crowded place. market not only sells food essential or kitchen essential but also the things what we wear clothes, shoes and many other things. in market while buying the things we choose places by their prices. when it comes to market we can hear lot of noises in the market and also in the morning times it will be little crowded but as the day comes of the afternoon the noises started to increase and up to evening. market, i know market is a very crowded place.",2.0
i enjoy practicing my voice while singing at the car because that is my hug. i used my phone and youtube that connected it to the bluetooth speakers and i enjoy this happy with my friends and family.,2.0
"i am describing my favourite hobby. my favourite hobby is to play musical instrument. my favourite instrument is mouth organ, caseo and a guitar. i have all the three items presented at maroon and i spend two hours daily on there. this is my good hobby and this is my talent that is gifted and i am making this talent very beautiful. i am also participating in many of the events that are organised by the college and i am performing in that event that i can provide some good music to the students that are listening in that events. i am good at music and i love to play music with instruments.",2.5
describing about the best day in my life is not a particular day but i think every day start with new hope and new experiences. every day we have to think that it is a new chance or a new day to make and not about a single day as a best day. i will try to make every day as a best day in my life. not only a single day but i will treat every day as a best day and make every day as a special day in my life. thank you.,2.0
"a market place is a very busy place where people go to buy articles of theirness. it is under a protection for both buyers and sellers. there is no much other place in the area having much big risk business as a market. i always find a big crowd there. there are several shops out decircled beautifully. big shops with more attractive business come here from far and wide for purchasing or selling their products. the market is always crowded with carts, horses, donkeys and camels. they come loaded with the produce of season such as a cotton, grey, nines, seeds, vegetables, etc.",2.5
"yeah, my journey to karnataka state was amazing and that experience get me feel a wonderful days and local foods are dishes from this place where i would to eat special foods not a rarely choose i think biryani and some more dishes that chooses those places correctly match them and the season i would prefer is winter season at that time the place will be cool and whether time it i would to amazing",2.5
"i to play by wind and it is one of my favorite hobby. it has always taught me how to take the steps. it always teaches me how to be focused. other than that, it always has taught me how to take the perfect decision on time. which shot i have to play, it always not only helps me to be fit and active, it also teaches me how to take the best decisions. and apart from that, it has maintained my life into a good routine as it is my favorite hobby and whenever i play it, then i always end up with a good spirit. i have been passionately pursuing my hobby from the past six years. it involves using various mediums. i can play it kind of outside. that's my.",2.0
"my topic is to describe a food the best day in my life and the best day in my life is when i am studying a 10th standard. they suddenly plan to conduct an essay writing about social media. we are not aware about at the time when i am studying my 10th standard but they opted to select the telugu, hindi and english language. they intimated us to participate and then leave the college for the last day. we have the dasta holies at the time and then after that day we need to enjoy our holies. everyone in that mood but they conducted that essay writing. due to my staff instructions i participated in it. unfortunately i won it that day. i take in award from the inspector's office.",2.5
", given that saying, , the honest goal is its . this goal is important to me. the challenges i face are a lot. what motivates me to stay focused is my determination and focus.",2.0
life is to continuously learn and grow myself while also helping others that they can feel very happy. i would to help others who are in need of something. i also strive to make a positive impact on the world. i want to contribute myself for a better world.,2.0
"the most of the audience are the most humble to help us. my favorite hobby is to watch movies. and i used to watch the movies which gives us a, which is a comedy movie. and i used to watch with my family. and there are tools needed for this of a hobby or the television and mobile, etc. and i used to watch the movies which gives a family entertainment. and thriller movies. and i don't to watch the movies which are horror movies, etc. and i don't to watch movies which are horror movies, etc.",2.0
"my goal in life are ultimately to achieve success in my life. my goals are to also have happiness, prosperity and in every area in my life and the freedom and the peace within to be able to amone my carry goals. my goals are also heavy influence on the hardships my parents have had to endure such as faith and ridicule for the simple fact of being immigrants. that's extremely difficult time they induce due to unemployment and living in poverty and the low degree of education they receive from their countries. my goals are important to me because i view it as way of getting my out of harder life.",2.0
"my hobby is watching tv and web series and movies. i the most about the interior, and his movies and his action. i to cultivate the habit of the interior and i just to practice the tanks and way of talking of his style. i the most habits of him and much interest about his behavior and his humanity and his goodness and his looks. whatever the things i am most attracted towards him and just it's my hobby to see him in the big screen that and i just want to remember his name every day and i am much in love with him and he is a good person. his looks are good and i do.",2.0
my favorite hobby is playing cricket. i to play cricket with my friends. i go to ground with my friends and play cricket. i enjoy a lot while playing cricket. because why i listed as a favorite hobby is in cricket. it is a team work. that's why.,2.0
"recently i visited tirumala. such a wonderful place. me and all my friends plan to move on tirumala on train. it's a wonderful, fascinating journey. a lot of memories are grabbed, grabbing in that journey and bonding also. and tirumala is a sambar and dosa is a favorite dish, all sampled. it's a good...",2.5
"my hobby is to say i am a canadian musician. i have started learning to sing from my childhood. i singing, i love singing, i enjoy singing very much. and during my singing journey, i will go to a temple near my home where they will perform pageants for every saturday. i will go and sing there. all the songs i know related to the god in that temple. and i will enjoy singing very much. there will be many people singing along with me. i to sing alone as as sing with others. i have participated in many group songs etc.",2.0
"my favourite hobby is to irritate my best friend because it gives lots of thrill and enjoyment to me. it is a time pass, we were that's because and we both also enjoyed. we got some memories, we almost want to spend more time and it is my favourite hobby because he treats me a kid. i always want to irritate him. he also likes to irritate me because we both have same mindset and mental vibes. we both have same mindset. that's why we are very close to each other. it is a part of our hobby. we enjoy it a lot and we spend more time.",2.5
"my favorite place to visit kerala, it's beautiful with greenery and boat traveling and there are many famous places vinard, somewhere with the flow of greenery and nature with peaceful minds and there was many food slides they prepared with coconut and the tradition also good and i to travel more kerala's and himalayas and much more places to enjoy myself to take my time to myself to explore by me and that's all.",2.0
in my school playground me and my friends met together and divided into team and we play for first innings and after that again we play second innings after that we will play another game.,2.0
all my friends are eagerly waiting to visit lakshadvik. it is a beautiful place which are coming under the region of india. it is very convenient to go. and recently prime minister also visited this place and all social media is very exposed to this place. that's why we are interested to visit lakshadvik and explore the places which are mainly highlighted in those areas and experience the food too.,2.5
"my topic is to describe about the scene of the crowded market. once in a week we go to the market to buy the vegetables and the items for food. today morning i went to the market along with my mom. it was very crowded literally. i felt little bit nervous to walk in such crowd and to buy vegetables what we needed. the vegetable was full, the market was full of visitables and my favorite food item is potato curry. every time we go to the market we buy at least 2 kilos of potatoes. today due to the high rates we did not buy it. the market was full of crowd and with high cost of vegetables.",2.5
i have very large playground in my school. we play kiriket kabaddi in my playground. my pet was very good to teach us how to play different games in very patiently. he encouraged us to play the games. we are very eagerly waiting to play the games at that time.,2.0
"i think the goal that i am achieving now is to be happy, completely happy. because i think in this year it's not easy to achieve. and also just to be in here, i to achieve my small means of life, such as having my own space, because it's not easy to live with my parents now. i think that is my really goal as of the moment. and i think that the budgeting, because it's not easy to have your own space when you are short with the budget, that's why i think that is the hardest part of achieving that goal as of the moment. what motivates you to stay focused, determine the path achieving your goals. i think the idea of living, the idea of being alone and having my own space, i think that's what makes me focused.",2.5
"it was a fine morning. me and my friend went to the market to buy some things. the market was very crowded. there were many people selling vegetables, fruits and vegetables, etc. there were green vegetables and fruits present which was very attractive to my eyes. my stomach started giving sound. i am hungry i have to buy and go. but it was crowded. i could hear the people walking here and there buying many things. those were shopkeepers by shouting. tomato, hookah mair, radish, cabbage, etc. etc. from the morning to evening the",2.0
"the best day of my life is we went to manali with my friends and the trip is of 10 days and the best day of my life is when we went to gotampas and we had a lot and as as for all of you that you visit the place of gotampas where you can experience many many little joyfulness and excitement of the scene, the mountains, the days of the day and the cold and the suviness have made my head special and i feel a bit thrilled while when i think about the days which were passing and we had a lot as much as possible i reference all to visit the place without passing.",2.5
the best day that happened in my life is when i traveled with my friend using our bicycle. the experience of our unity every time someone get into plotting their tires will help each other but times to just continue our journey towards goals and if that never happened our band would never really be close but we're gonna be really close friends. it's a special day.,2.5
my topic is to describe the best day of my life. i thought that i felt very happy and very enthusiastic the year before because i am very poor at cooking. but i know how to cook tiffins and mahi that. only the fast food items. i don't know how to cook the dal and the rasam. but on the day my mother felt sick. i need to cook on the day to my mother and to prepare for myself. i watched a youtube video then i started cooking the dal. initially i felt very nervous whether it tastes good or not. but once i watched the video i started cooking it resulted very in good way. everyone likes the dal and asked me to cook daily. that was my best day.,2.0
", describing the favourite place of mine is vrindavan. first of all we book our tickets and we go by a train to the vrindavan. it is a very beautiful place and everyone must have to visit. vrindavan is the place of lord krishna. the talking about local foods or dishes, lassi which is made up of curd is very famous and i love much. other than that there is no particular time or season. holy is a special season and they play holy for a month. , this is all about vrindavan.",3.0
"describe your goal in life. what makes this goal important to you? what challenges will you face to achieve this goal? and what motivates you to stay focused and determine on the path to achieving your goal? first, what makes this goal? first, my goal in life is to work in a vp overall. and after that, what challenges? the challenges of working in the vp is the job application because we need to communicate the recruited operations using the language. i know it motivates you to stay focused and determine on achieving your goal. that's why i need to work in",3.0
my topic is about to describe the best day of my life and the best day of my life is when i met my best friend and i couldn't say his name but he is such an understanding person and he is such a matured person and in every situation he understands me and without him i think my life wouldn't be this and it would have many changes without him and i would have missed someone who is close to me and who understands me other than anyone and i think there's a day which i have met him and without the day without meeting him it will be horrible that life was for me and he changed it much in my life and yes that day is a very special when i,3.5
my favourite hobby is about playing shittil. it's one of the most enjoyable hobby and i used to play everyday with shittil. i enjoy practicing with my own and with also my friends because it makes me more and more competitive day by day. it increases sportive skills and healthy feet towards my mental and physical happiness. it makes me fit and i enjoy playing shittil everyday. i practice hobby with the help of my friends. one of my friends suggested me this when i was 5 years old.,3.0
"my hobbies are reading books and singing, dancing and making dishes. but my favorite hobbies are singing and dancing. i enjoy the most in of my hobbies. and i don't, i require some tools for singing and dancing on my mobile, for singing the lyrics by seeing the lyrics on the mobile and for dancing. i need some equipments , , , or guitar, etc, etc, to dance. and i practice by my own self. i don't require others. even i prefer sometimes with enjoying practicing my hobby with others also. and my favorite hobbies are these and i enjoy the most. thank you.",3.0
"the school playground provides a safe outdoors environment within the school that stimulates children to use creative energy via the interactions with one another. the most in any hunting schools always have large open playgrounds with interesting play equipment that leaves many options for creativity. children sit at their classroom desk for many hours each day. they are given breaks in between where they go outdoors to the playground. the key to these playgrounds is choice. use the play equipment, run on the field, jump rope, play basketball or create some new game to challenge. friends, a good playground will be large with many different surfaces. to stimulate choice and leave options open. the playgrounds must be spacious and outdoors but they must also be safe.",3.5
"my favorite hobby is cooking. in the time of cooking i am feeling very happy. i enjoy practicing cooking. i cook to prefer with my own. after cooking i will use it to serve my cooking ingredient to all the people in my home. they enjoy and they give compliments on my cooking. i use it to prepare most of the time with rice items biryani, gobi manjari. these hobbies, i am feeling very happy to cooking and serving everyone in my home.",3.0
"the greatest goal that i have now is to be able to be a successful programmer because being a programmer is already in my profession since i am a programming student. although i know that once i graduated there will be a lot of challenges especially there are already a lot of competitions and other applicants now since information courses are already increasing. but it will not make me discouraged instead, it will motivate me to study more that i can be a workful applicant.",3.5
"my topic is describing the same of a crowded market. there are many people in the market and there are some sellers which are there to sell their vegetables and fruits in the market and there are some buyers to buy their necessities vegetables, goods and some household groceries from the market and they are not in the market. we are hearing many people's voice and some vehicle sounds lorries, cars, bikes, vehicles and etc. and some people in vegetables or the fruits market they are selling the fruits to buyers by telling the cost of that and the crowded market scene was changed from morning to evening. when we entered into the morning there was much of crowd in the morning and there was also evening and there was much of crowd in the afternoon.",3.5
"submitted worth of them. submitted worth of them. i had a good idea. submitted worth of them. i said, next time worth. my 10th birthday, the most memorable birthday of my 16th birthday, i can never forget and i consider it to be best birthday. today, just started just any other normal birthday. however, as it kept progressing, a lot of exciting things begin. i woke up very early on my birthday because i had to dress up in a casual class for school. the day before, all my candidates were ready that i will distribute in the classroom. my mother prepared my favorite breakfast and gave me a big chocolate bar for lunch as . i went to school and the whole class sang for me and congratulated me. it was the turn to dispute streets. my friend and wife went to teachers. it was a memorable day for me.",3.0
my favorite place to visit is the batan. there is from here in batangas the batan is a very very long ride and also this tiring ride because it is very long. it makes 10 hours to go to batan from here in batangas and also i can see a lot of tourist paths while on the travel and then there are also local foods or dishes that i will love in this place. there are a lot of seafoods that i can be able to eat because it is near the ocean and it is a particular time or a day that it is beautiful during summer because there are a lot of rivers in there. we have a banding during that time and it is also our vacation.,3.0
"what are the people that are buying the market? can be fruits, jam, and brave. maybe services, paint, any equipment to the house. it can be the people to selling. and the sounds would be the crowd of the noise of the industry, the cars, the people who walk in the market, the sounds of the cash machine, and the voice to the selling people. it could be the sound of the birds and some animals.",3.0
"i saw the people who are buying potatoes, tomatoes for daily groceries. i should hear the voices and sounds in the market 1 kg, 2 kg, 3 kg, potatoes for that much of rupees. the crowd in the market changes from morning to evening. in morning times there are many people who are buying and selling the products vegetables in the market. in afternoon times there are less people who are coming in market to buy their needs. there are much of crowd in morning and evening because of their time they are used to buy and sell the items which are needed in only morning and evening times due to their convenient market crowd.",3.0
i'm going to do this. i'm going to do this. i'm going to do this. i'm going to do this. i'm going to do this. i'm going to do this. i'm going to do this.,3.0
"i think my life would be different if i hadn't experienced this mistake because i will miss my parents happiness and also positive or memorable experience i might be missed. then what makes this day special means this day makes me special through happiness, excitement and nostalgia and i didn't forget this memorable day. i feel when thinking about the day i'm filled with joy.",3.5
school playground is one of the best memory for every student because every student is very eager in playing games that studying every student memorable thing is playing and school playground is one of the best and best thing in the school than classrooms. i used to play kaburi and cocoa very often in school playground. our school playground is surrounded by many trees and it's very interesting thing that happened there is playing games. any of the games will increase the support units.,3.0
"people sell their goods and services in a market, they sell and buy in the market. what sounds good? every time it sounds they are selling their goods and products to the customers. in a market, there are many people who will buy and sell their goods according to their needs. in the market, every time there will be crowded people in the morning as as the evening. it is a business.",3.5
my favourite place to visit is beaches with crystal prayer warders soft sands and gentle ocean breezes the combination of natural beauty relaxation and the soothing sounds of waves make it a favourite place for me makes the favourite place for me beaches offer beaches offer a rhythm of waves warm sand beneath your feet and breathing sunsets it seeks both adventure and,3.0
"yes, i enjoy, i always enjoy playing tennis because it is my hobby. i it or tennis ball required to play tennis. and then, but they are not expensive we can buy easily them. yeah, i always enjoy the tennis day. i enjoy playing practice, playing tennis with my friends every weekend, saturday or sunday, because it will always make me be fresh and then enjoy me fun every weekend. i always spend a good time with my friends.",3.0
"the best love of my life is my, i think it's my 10th birthday. it is a day i will never forget in my life. i consider it till now my best birthday. on that birthday, on that 10th birthday, all my relatives and friends were present at my birthday party. it makes me more happy on that birthday. the best part of the party was my crush was came to that party. i have invited all my friends. they are all present at that party. that birthday party was very amazing and very memorable. and yeah, that was my favorite.",3.0
